Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.081417,-126.641635,0.0,top
D1,179.215,-49.965,270.0,top
D10,151.715,-45.415,0.0,top
D11,124.665,-58.465,0.0,top
D12,124.665,-77.515,0.0,top
D13,105.615,-79.515,0.0,top
D14,133.84,-83.506,270.0,top
D15,86.565,-88.515,0.0,top
D16,86.565,-107.565,0.0,top
D17,143.715,-64.465,0.0,top
D18,124.665,-96.565,0.0,top
D19,105.865,-98.615,0.0,top
D2,123.215,-43.965,270.0,top
D20,115.215,-101.615,270.0,top
D21,78.24,-89.106,270.0,top
D22,59.215,-109.601218,270.0,top
D23,143.715,-83.515,0.0,top
D24,153.215,-67.615,270.0,top
D25,143.715,-102.565,0.0,top
D3,141.215,-43.615,270.0,top
D4,161.215,-50.615,270.0,top
D5,104.215,-44.615,270.0,top
D6,96.84,-65.306,270.0,top
D7,108.590005,-60.545569,0.0,top
D8,115.890005,-63.145569,270.0,top
D9,136.24,-58.306,0.0,top
DI1,90.24,-61.506,180.0,top
DI2,71.39614,-104.582075,180.0,top
DI3,90.24,-66.706,180.0,top
DI4,94.565,-41.415,0.0,top
DI5,90.24,-64.106,180.0,top
DS1,71.45,-98.982075,180.0,top
DS10,63.83,-77.706,180.0,bottom
DS2,71.39614,-101.601218,180.0,top
DS3,90.20614,-69.382075,180.0,top
DS4,71.45,-80.7525,180.0,top
DS5,71.45,-77.706,180.0,top
DS6,63.83,-98.982075,180.0,bottom
DS7,63.77614,-101.601218,180.0,bottom
DS8,82.58614,-69.382075,180.0,bottom
DS9,63.83,-80.7525,180.0,bottom
H2,161.065005,-62.970569,0.0,top
H3,153.340005,-110.070569,0.0,top
H4,106.265005,-57.045569,0.0,top
H5,77.040005,-110.995569,0.0,top
H6,156.440005,-127.245569,0.0,top
H7,194.965005,-127.245569,0.0,top
J1,182.205691,-111.035221,164.0,top
J2,98.181417,-121.531635,270.0,top
J3,92.24,-128.79,180.0,top
J4,179.9,-123.565,90.0,top
J5,179.9,-118.465,90.0,top
J6,174.04,-90.856,270.0,bottom
JP1,180.918559,-100.084149,196.0,bottom
JP12,70.14,-71.510782,90.0,top
JP13,73.99,-69.810782,0.0,bottom
JP15,66.39,-73.310782,180.0,bottom
JP21,66.39,-69.810782,180.0,top
JP22,73.99,-73.306,0.0,top
JP3,188.608653,-102.289248,164.0,top
JP6,187.506103,-106.134295,344.0,top
JP8,179.81601,-103.929196,16.0,bottom
JP9,67.515,-84.5525,180.0,bottom
N1,121.95,-87.4475,0.0,top
RC0-1|0-6,170.765,-56.39,0.0,top
RC0-2|0-7,113.615,-50.465,0.0,top
RC0-3|0-8,132.665,-50.465,0.0,top
RC0-4|0-9,151.715,-56.465,0.0,top
RC1-0|1-5,94.565,-52.465,0.0,top
RC1-2|1-7,105.615,-71.515,0.0,top
RC1-3|1-8,86.565,-80.515,0.0,top
RC1-4|1-9,124.665,-69.515,0.0,top
RC2-0|2-5,143.715,-75.515,0.0,top
RC2-1|2-6,162.765,-75.44,0.0,top
RC2-3|2-8,162.765,-94.49,0.0,top
RC2-4|2-9,143.715,-94.565,0.0,top
RC3-0|3-5,105.615,-90.565,0.0,top
RC3-1|3-6,124.665,-88.565,0.0,top
RC3-2|3-7,86.565,-99.565,0.0,top
RC3-4|3-9,86.565,-118.615,0.0,top
RC4-0|4-5,162.765,-113.615,0.0,top
RC4-1|4-6,143.715,-113.615,0.0,top
RC4-2|4-7,105.615,-109.615,0.0,top
RC4-3|4-8,124.665,-107.615,0.0,top
RC5-0|0-5,67.515,-91.8025,0.0,top
RC5-1|5-6,67.515,-115.615,0.0,top
RC5-2|5-7,168.622989,-129.383207,169.0,top
RC5-3|5-8,189.244327,-135.284343,158.0,top
RC5-4|5-9,147.215,-132.665,0.0,top
RCA0-1|0-6,170.765,-65.99,0.0,top
RCA2-1|2-6,162.765,-84.965,0.0,top
RCA2-3|2-8,162.765,-104.015,0.0,top
RCA5-2|5-7,165.563819,-136.812924,350.0,top
RCA5-3|5-8,183.68136,-140.952573,344.0,top
U1,74.04,-55.856,0.0,top
